"GEOID","NAME","variable","value","area_mi2","density_mi2"
"12001","Alachua County, Florida","population",278468,969.964158126486,287.09102049489
"12003","Baker County, Florida","population",28259,589.593961337867,47.9295953708152
"12005","Bay County, Florida","population",175216,1468.33415765295,119.329785448888
"12007","Bradford County, Florida","population",28303,300.832374251388,94.082294402094
"12009","Brevard County, Florida","population",606612,1559.31785283527,389.023956146601
"12011","Broward County, Florida","population",1944375,1310.88188740587,1483.25720164443
"12013","Calhoun County, Florida","population",13648,574.913154294975,23.7392376536188
"12015","Charlotte County, Florida","population",186847,948.880064230768,196.913189604707
"12017","Citrus County, Florida","population",153843,962.045327870014,159.912423607535
"12019","Clay County, Florida","population",218245,644.271194303618,338.747102042793
"12021","Collier County, Florida","population",375752,2609.95017170437,143.969032081031
"12023","Columbia County, Florida","population",69698,802.184548751185,86.8852436867596
"12027","DeSoto County, Florida","population",33976,640.179680948001,53.0725997889954
"12029","Dixie County, Florida","population",16759,1044.66395684864,16.042479392661
"12031","Duval County, Florida","population",995567,919.43568616677,1082.80221768488
"12033","Escambia County, Florida","population",321905,1126.85791749279,285.666005450114
"12035","Flagler County, Florida","population",115378,571.532076043593,201.87493377222
"12037","Franklin County, Florida","population",12451,1423.27777877866,8.74811662603517
"12039","Gadsden County, Florida","population",43826,529.060846038808,82.837352883198
"12041","Gilchrist County, Florida","population",17864,355.660169923218,50.2277216024965
"12043","Glades County, Florida","population",12126,988.947833702991,12.2615163173933
"12045","Gulf County, Florida","population",14192,795.464418265327,17.8411499925397
"12047","Hamilton County, Florida","population",14004,519.588601233437,26.9520924184177
"12049","Hardee County, Florida","population",25327,639.173156115789,39.6246302862755
"12051","Hendry County, Florida","population",39619,1191.51956963268,33.2508177034924
"12053","Hernando County, Florida","population",194515,716.419632906936,271.509868051408
"12055","Highlands County, Florida","population",101235,1108.54818376172,91.3221468249324
"12057","Hillsborough County, Florida","population",1459762,1329.87355005475,1097.6697746488
"12059","Holmes County, Florida","population",19653,489.511438994564,40.1481935547133
"12061","Indian River County, Florida","population",159788,617.602391061869,258.723091607968
"12063","Jackson County, Florida","population",47319,955.484214319824,49.5235811234043
"12065","Jefferson County, Florida","population",14510,673.325100068777,21.5497684528883
"12067","Lafayette County, Florida","population",8226,548.526713650009,14.9965348911861
"12069","Lake County, Florida","population",383956,1158.35194718808,331.467479233803
"12071","Lee County, Florida","population",760822,1517.55328444503,501.347799644632
"12073","Leon County, Florida","population",292198,702.517922917695,415.929601890361
"12075","Levy County, Florida","population",42915,1592.98472250201,26.9399947116855
"12077","Liberty County, Florida","population",7974,844.032972232498,9.44749821669701
"12079","Madison County, Florida","population",17968,716.434450268378,25.079754321235
"12081","Manatee County, Florida","population",399710,965.598097463573,413.950691338307
"12083","Marion County, Florida","population",375908,1664.80046727721,225.797630039592
"12085","Martin County, Florida","population",158431,754.405230133047,210.007822946905
"12086","Miami-Dade County, Florida","population",2701767,2394.04004029053,1128.53876899742
"12087","Monroe County, Florida","population",82874,5300.55956174417,15.6349530713942
"12089","Nassau County, Florida","population",90352,726.648203845473,124.34077387359
"12091","Okaloosa County, Florida","population",211668,1247.93737188401,169.614280947805
"12093","Okeechobee County, Florida","population",39644,893.503160831008,44.3691771197864
"12095","Orange County, Florida","population",1429908,1004.86412491899,1422.98641631303
"12097","Osceola County, Florida","population",388656,1508.25491548501,257.68588320829
"12099","Palm Beach County, Florida","population",1492191,2387.44933883624,625.014728365867
"12101","Pasco County, Florida","population",561891,1016.07640775287,553.000734701305
"12103","Pinellas County, Florida","population",959107,868.165356739904,1104.75152291448
"12105","Polk County, Florida","population",725046,2013.49671068058,360.092964718541
"12107","Putnam County, Florida","population",73321,827.918250701747,88.5606760544931
"12109","St. Johns County, Florida","population",273425,822.475638141971,332.441457618959
"12111","St. Lucie County, Florida","population",329226,689.130938923068,477.740849241937
"12113","Santa Rosa County, Florida","population",188000,1223.37664517594,153.673033355122
"12115","Sarasota County, Florida","population",434006,977.19283793108,444.135469636557
"12117","Seminole County, Florida","population",470856,345.816974280912,1361.57573230491
"12119","Sumter County, Florida","population",129752,580.632419712587,223.466681492272
"12121","Suwannee County, Florida","population",43474,693.008854137407,62.7322432324655
"12123","Taylor County, Florida","population",21796,1513.61095248828,14.4000015090858
"12125","Union County, Florida","population",16147,250.03093903974,64.5800078262858
"12127","Volusia County, Florida","population",553543,1434.32147292356,385.926732918333
"12129","Wakulla County, Florida","population",33764,917.902871950875,36.7838483043847
"12131","Walton County, Florida","population",75305,1410.87270768208,53.3747655546604
"12133","Washington County, Florida","population",25318,616.571598646733,41.0625465972948
